epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3071.36,0.78039,0.5227,0.9042,0.72929,0.31734,0.34435,0.11721,3.35858,3.99557,2.19375,0.00999794,0.00333265,0.00999794,0.00333265,0.00999794,0.00333265,0.00999794,0.00333265
2,3995.95,0.75291,0.48128,0.88495,0.59644,0.3628,0.3951,0.15207,3.20965,3.59114,2.10408,0.0198,0.00659999,0.0198,0.00659999,0.0198,0.00659999,0.0198,0.00659999
3,4948.14,0.7857,0.49659,0.89586,0.5059,0.38504,0.37494,0.14025,3.20569,3.30664,2.13146,0.029404,0.00980133,0.029404,0.00980133,0.029404,0.00980133,0.029404,0.00980133
4,5777.91,0.77428,0.48493,0.8953,0.54333,0.37878,0.40417,0.15714,3.17821,3.55294,2.12462,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,6616.93,0.73431,0.45542,0.88488,0.4851,0.38166,0.36521,0.13459,3.26091,3.71946,2.01012,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,7462.96,0.70915,0.43695,0.87844,0.60912,0.36328,0.40244,0.15512,3.1843,3.83231,1.9901,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,8295.29,0.6904,0.42445,0.87366,0.69437,0.39339,0.42929,0.17218,3.22187,3.68296,2.04901,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,9124.17,0.67861,0.41498,0.86975,0.67429,0.36467,0.3982,0.1543,3.58862,4.05614,2.42196,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,9969.6,0.67124,0.40911,0.86776,0.76065,0.37444,0.40694,0.15503,3.47712,4.07878,2.15744,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,10803.6,0.6612,0.40268,0.86585,0.80403,0.3644,0.40858,0.15703,3.49513,4.18338,2.13526,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,11641.7,0.65621,0.39938,0.86366,0.79666,0.37793,0.41292,0.16162,3.45166,4.10671,2.07899,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,12478,0.65013,0.39527,0.86163,0.80249,0.38248,0.42136,0.16644,3.47092,4.07894,2.10539,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,13311.8,0.64656,0.39153,0.8609,0.81222,0.37879,0.42334,0.16847,3.48399,4.12382,2.11882,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,14147.6,0.64119,0.38943,0.85967,0.8095,0.38147,0.4237,0.16927,3.50099,4.13302,2.12566,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,14982.3,0.63468,0.38511,0.85796,0.80683,0.38243,0.42247,0.16888,3.52211,4.15583,2.12426,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,15817.7,0.63449,0.38426,0.85789,0.80173,0.38061,0.41811,0.16718,3.55245,4.16443,2.1338,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,16652.3,0.62965,0.38145,0.85618,0.81035,0.37432,0.41987,0.16664,3.57987,4.21951,2.14313,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,17491.1,0.6268,0.38019,0.85575,0.81357,0.36989,0.41673,0.16606,3.60767,4.23616,2.16346,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,18327.9,0.62462,0.37799,0.85483,0.81222,0.37106,0.41519,0.16556,3.63855,4.2613,2.19218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,19164,0.62301,0.37659,0.85464,0.81019,0.37022,0.41212,0.16494,3.61859,4.25234,2.17495,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,19999.9,0.61865,0.37298,0.85399,0.81002,0.36963,0.41127,0.16455,3.60991,4.25294,2.16666,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
