epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,466.391,0.87959,0.54343,0.9293,0.55759,0.32505,0.34194,0.12088,3.30277,4.0047,2.0571,0.00999285,0.00333095,0.00999285,0.00333095,0.00999285,0.00333095,0.00999285,0.00333095
2,722.715,0.83715,0.49704,0.9018,0.61307,0.34482,0.3512,0.1073,3.32271,3.78631,2.19425,0.0197949,0.00659831,0.0197949,0.00659831,0.0197949,0.00659831,0.0197949,0.00659831
3,966.212,0.88786,0.52148,0.91453,0.44793,0.25725,0.26068,0.08579,3.5533,3.90767,2.33398,0.029399,0.00979966,0.029399,0.00979966,0.029399,0.00979966,0.029399,0.00979966
4,1199.4,0.89364,0.51772,0.91896,0.55309,0.3177,0.33377,0.13503,3.39631,3.9698,2.20898,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1430.64,0.85449,0.49058,0.90749,0.40509,0.26612,0.23606,0.08712,3.5383,4.43009,2.23885,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1665.98,0.82508,0.47142,0.90083,0.59752,0.35853,0.37861,0.13988,3.25437,3.41736,2.32699,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1902.87,0.80573,0.45854,0.89493,0.45465,0.30762,0.30079,0.1027,3.44617,4.26649,2.22962,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2138.15,0.78354,0.44777,0.89097,0.64895,0.30341,0.33526,0.13222,3.39936,4.39082,2.24851,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2373.39,0.76832,0.43667,0.88638,0.58097,0.27269,0.27377,0.09449,3.69272,4.31332,2.52958,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2608.6,0.75395,0.42793,0.88277,0.66023,0.31853,0.34681,0.12295,3.48106,4.44243,2.2082,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2844.19,0.74568,0.42182,0.87843,0.71479,0.31023,0.33825,0.12353,3.63635,4.48026,2.28552,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3078.84,0.73247,0.41426,0.87755,0.59417,0.26562,0.31093,0.11663,3.73247,4.70782,2.36487,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3315.15,0.72616,0.41016,0.87525,0.69384,0.30537,0.3348,0.1184,3.28993,4.37157,2.14519,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3550.05,0.7172,0.40465,0.87444,0.5802,0.34886,0.35471,0.12308,3.45795,3.8756,2.24715,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3783.96,0.7061,0.39907,0.87113,0.61511,0.40828,0.41854,0.14847,3.26654,3.62252,2.11938,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4018.32,0.70183,0.39594,0.86963,0.58096,0.33407,0.34148,0.13324,3.49896,4.06964,2.26505,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4252.43,0.69491,0.39137,0.86866,0.60257,0.38623,0.39246,0.14358,3.36794,3.62196,2.22048,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4487.46,0.69117,0.38803,0.86697,0.488,0.33208,0.31758,0.11011,3.6591,4.22062,2.33001,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4721.6,0.68522,0.38564,0.86325,0.55222,0.33727,0.34089,0.11405,3.48919,4.03269,2.27205,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4956.02,0.67494,0.38039,0.86224,0.64635,0.34301,0.36578,0.13321,3.54017,4.25307,2.26905,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5191.94,0.67312,0.37855,0.86061,0.59414,0.38049,0.38049,0.14176,3.41562,3.84817,2.23911,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5422.9,0.66748,0.37599,0.85897,0.54399,0.35536,0.35823,0.13475,3.54569,4.32773,2.30874,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5653.41,0.66302,0.37264,0.85854,0.57599,0.35437,0.35562,0.12769,3.49694,4.06591,2.30948,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5888.05,0.65822,0.36936,0.85777,0.57006,0.37383,0.37024,0.13604,3.39563,3.96803,2.24675,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6125.08,0.65693,0.37,0.85757,0.60582,0.35608,0.36294,0.13509,3.48533,4.01397,2.32382,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6361.44,0.65176,0.3655,0.85638,0.57824,0.38955,0.37724,0.13839,3.37258,3.82938,2.2007,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6596.28,0.65086,0.36471,0.85546,0.51493,0.36246,0.33793,0.12596,3.46554,4.27852,2.24539,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,6831.89,0.64539,0.36233,0.85488,0.55281,0.3529,0.33616,0.12173,3.51793,4.4243,2.26845,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,7068.23,0.64249,0.35967,0.8532,0.5793,0.32714,0.34642,0.12545,3.56051,4.34401,2.31172,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7303.35,0.6379,0.3577,0.85348,0.54527,0.33471,0.3515,0.12722,3.58101,4.21182,2.40607,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7538.21,0.63587,0.35639,0.85158,0.58527,0.34898,0.36351,0.13531,3.56178,4.15322,2.36133,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,7773.38,0.62867,0.35295,0.8513,0.54025,0.37682,0.36233,0.1336,3.50651,4.11811,2.33061,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8008.95,0.6305,0.3524,0.85111,0.58669,0.35999,0.36924,0.13504,3.53994,4.15501,2.3172,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
