epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,765.207,0.87434,0.53265,0.90525,0.68362,0.24271,0.25657,0.0825,3.61148,4.22721,2.45068,0.00999678,0.00333226,0.00999678,0.00333226,0.00999678,0.00333226,0.00999678,0.00333226
2,1377.89,0.89024,0.5314,0.90126,0.47665,0.26803,0.29033,0.10149,3.54553,4.28519,2.25135,0.0197988,0.0065996,0.0197988,0.0065996,0.0197988,0.0065996,0.0197988,0.0065996
3,1933.12,0.95498,0.56332,0.9215,0.68123,0.23582,0.24193,0.08277,3.28171,3.91743,2.27637,0.0294028,0.00980095,0.0294028,0.00980095,0.0294028,0.00980095,0.0294028,0.00980095
4,2475.37,0.96444,0.56414,0.9254,0.45113,0.2956,0.2996,0.10829,3.21282,3.81704,2.09919,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3017.93,0.90669,0.52343,0.91115,0.49483,0.3291,0.35325,0.12039,3.2899,2.98211,2.21878,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3556.46,0.87357,0.5017,0.90131,0.51189,0.37926,0.38685,0.14094,3.34556,3.28705,2.32481,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4095.42,0.85104,0.48457,0.89662,0.52799,0.4068,0.40401,0.15507,3.27299,3.40622,2.35356,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4636.45,0.83464,0.47357,0.89183,0.54303,0.41509,0.41965,0.15482,3.32863,3.43413,2.19064,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,5175.25,0.81685,0.46407,0.8882,0.5194,0.37728,0.3987,0.16192,3.40019,3.89575,2.20773,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5719.66,0.80234,0.45475,0.88291,0.69387,0.34485,0.38034,0.15229,3.62825,4.15272,2.44248,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,6273.59,0.792,0.44971,0.88086,0.79121,0.3592,0.39182,0.15919,3.62623,4.17958,2.59641,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6818.33,0.78432,0.44417,0.87874,0.79405,0.33492,0.37545,0.1457,3.61187,4.08587,2.52034,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,7358.67,0.77497,0.4382,0.87586,0.5604,0.35286,0.3868,0.14696,3.47347,3.97917,2.34971,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,7898.01,0.76745,0.43381,0.87449,0.46844,0.35063,0.3832,0.14146,3.56281,4.00353,2.34935,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,8451.33,0.76017,0.42979,0.87277,0.55764,0.36618,0.39955,0.15732,3.47241,3.80239,2.32209,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,8999.27,0.75608,0.42664,0.87273,0.54509,0.38552,0.40387,0.15896,3.48042,3.56943,2.36212,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
