epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,240.285,0.87171,0.52441,0.89423,0.62362,0.39265,0.41118,0.14406,3.22082,3.37142,2.10636,0.00998979,0.00332993,0.00998979,0.00332993,0.00998979,0.00332993,0.00998979,0.00332993
2,435.05,0.8709,0.51026,0.88903,0.78063,0.33215,0.39726,0.15375,3.25124,3.66159,2.19054,0.0197919,0.0065973,0.0197919,0.0065973,0.0197919,0.0065973,0.0197919,0.0065973
3,615.956,0.92273,0.53414,0.89926,0.59657,0.39081,0.39618,0.14191,3.20789,3.16965,2.22979,0.029396,0.00979866,0.029396,0.00979866,0.029396,0.00979866,0.029396,0.00979866
4,790.988,0.93173,0.53545,0.90556,0.54817,0.32165,0.33194,0.11678,3.48729,3.55858,2.27785,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,965.833,0.89318,0.50608,0.89747,0.72245,0.2993,0.3345,0.1147,3.48435,3.91751,2.33754,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1140.24,0.86572,0.49008,0.89004,0.61429,0.36908,0.38004,0.13827,3.3827,3.81969,2.17861,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1315.38,0.83685,0.47374,0.88527,0.73197,0.28252,0.29889,0.09758,3.47255,4.13221,2.2548,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1491.06,0.82447,0.466,0.88125,0.5718,0.30009,0.33431,0.11454,3.49845,3.75678,2.41461,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1665.72,0.80501,0.45419,0.87681,0.56732,0.32764,0.34633,0.12715,3.57899,3.91519,2.21483,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1842.3,0.79515,0.44718,0.87539,0.45979,0.34922,0.33339,0.11413,3.31793,3.58229,2.20501,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2017.45,0.77998,0.44051,0.87186,0.58065,0.35742,0.36398,0.12703,3.36352,3.55664,2.17595,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2192.21,0.77009,0.4347,0.86932,0.58319,0.37025,0.37224,0.1211,3.38089,3.60563,2.35812,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2366.53,0.76071,0.42857,0.86679,0.56941,0.36011,0.3613,0.11835,3.30908,3.66242,2.19767,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2541.12,0.74934,0.42217,0.86336,0.6209,0.30339,0.31695,0.09778,3.5521,3.97968,2.41268,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2715.82,0.74191,0.4174,0.86213,0.5832,0.31592,0.33856,0.11859,3.58348,4.09247,2.39687,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
