tracker_name,dataset_name,conf,iou,HOTA (%),MOTA (%),IDF1 (%),ID Switches,MostlyTracked,MostlyLost,FPS,Latency mean (ms),Latency 95 (ms),Peak VRAM (MB)
deepsort,avenue,0.01,0.6,34.57,19.13,40.37,16.0,74.0,6.0,15.0,66.58,85.92,1173.8
deepsort,UCSD,0.01,0.6,47.48,43.713,64.648,16.167,20.833,7.167,11.5,87.81,117.42,2387.1
deepsort,shanghai,0.01,0.6,48.113,10.04,62.927,6.0,10.333,1.667,16.7,60.76,77.45,1787.6
deepsort,gmot,0.01,0.6,22.832,-186.169,23.406,182.375,16.75,13.125,4.4,285.21,438.11,3000.6
bytetrack,avenue,0.01,0.6,56.04,78.26,70.01,6.0,56.0,7.0,27.4,36.48,59.33,235.4
bytetrack,UCSD,0.01,0.6,44.952,45.522,61.613,3.167,10.5,15.833,21.8,46.58,66.22,587.6
bytetrack,shanghai,0.01,0.6,58.76,68.493,79.57,2.667,7.667,4.667,22.9,43.69,62.36,385.2
bytetrack,gmot,0.01,0.6,17.845,17.686,23.414,24.25,4.125,33.5,53.3,23.78,39.76,707.7
ocsort,avenue,0.01,0.6,50.74,76.09,60.65,18.0,44.0,11.0,98.0,10.2,13.81,389.3
ocsort,UCSD,0.01,0.6,37.883,36.138,51.45,4.0,6.167,18.833,72.7,13.85,24.54,636.1
ocsort,shanghai,0.01,0.6,56.967,65.917,78.013,3.333,6.333,6.0,92.0,10.88,13.43,432.4
ocsort,gmot,0.01,0.6,14.215,15.059,18.668,20.0,3.25,35.75,80.8,12.67,16.27,720.3
