variant,sparsity,finetune,quantisation,tracker,dataset,HOTA (%),MOTA (%),IDF1 (%),ID Switches,MostlyTracked,MostlyLost,FPS,Latency mean (ms),Latency p95 (ms),Peak VRAM (MB),note
baseline,0.0,False,none,bytetrack,avenue,58.74,76.97,72.64,5.0,57.0,7.0,47.4,21.11,32.32,157.3,
baseline,0.0,False,none,bytetrack,UCSD,45.702,46.872,62.835,4.333,10.833,14.667,38.7,26.14,36.37,537.8,
baseline,0.0,False,none,bytetrack,shanghai,57.48,65.507,77.497,2.333,8.333,4.667,40.9,24.5,35.09,252.1,
baseline,0.0,False,none,bytetrack,gmot,19.197,19.759,25.369,34.25,3.875,31.375,36.8,27.73,36.34,717.6,
prune20,0.2,False,none,bytetrack,avenue,0.0,0.0,0.0,0.0,0.0,92.0,77.8,12.85,25.0,156.7,
prune20,0.2,False,none,bytetrack,UCSD,0.0,0.0,0.0,0.0,0.0,38.5,80.3,12.49,17.36,332.0,
prune20,0.2,False,none,bytetrack,shanghai,0.0,0.0,0.0,0.0,0.0,16.667,90.0,11.12,18.11,355.6,
prune20,0.2,False,none,bytetrack,gmot,0.0,0.0,0.0,0.0,0.0,46.25,78.3,13.16,17.64,460.3,
prune20_ft15ep,0.2,True,none,bytetrack,avenue,57.52,76.37,71.02,8.0,58.0,7.0,100.5,9.95,12.12,225.2,
prune20_ft15ep,0.2,True,none,bytetrack,UCSD,45.155,47.11,61.977,6.0,10.667,13.667,85.7,11.69,14.8,573.2,
prune20_ft15ep,0.2,True,none,bytetrack,shanghai,58.087,64.8,78.63,2.0,8.333,4.667,90.4,11.07,14.85,688.8,
prune20_ft15ep,0.2,True,none,bytetrack,gmot,20.615,19.926,26.886,24.25,4.0,32.25,79.7,12.64,16.01,614.4,
prune20_ft15ep_fp16,0.2,True,fp16,bytetrack,avenue,57.74,76.19,71.59,8.0,58.0,7.0,78.8,12.69,13.42,691.0,
prune20_ft15ep_fp16,0.2,True,fp16,bytetrack,UCSD,45.773,48.68,63.292,7.167,11.167,13.333,57.8,17.31,15.97,691.0,
prune20_ft15ep_fp16,0.2,True,fp16,bytetrack,shanghai,58.15,64.51,78.91,2.667,8.333,4.667,47.7,23.57,37.97,180.1,
prune20_ft15ep_fp16,0.2,True,fp16,bytetrack,gmot,19.369,18.49,25.378,23.75,3.875,32.625,30.1,41.68,55.0,180.1,
prune20_ft15ep_int8,0.2,,int8,bytetrack,N/A,,,,,,,,,,,INT8 skipped — use TensorRT for full Conv INT8 inference
prune40,0.4,False,none,bytetrack,avenue,0.0,0.0,0.0,0.0,0.0,92.0,47.3,21.13,51.84,156.7,
prune40,0.4,False,none,bytetrack,UCSD,0.0,0.0,0.0,0.0,0.0,38.5,68.6,21.52,33.93,467.5,
prune40,0.4,False,none,bytetrack,shanghai,0.0,0.0,0.0,0.0,0.0,16.667,52.7,24.05,39.66,350.2,
prune40,0.4,False,none,bytetrack,gmot,0.0,0.0,0.0,0.0,0.0,46.25,69.8,16.78,31.05,451.4,
prune40_ft15ep,0.4,True,none,bytetrack,avenue,56.21,76.22,70.94,14.0,61.0,7.0,28.7,34.79,63.41,156.7,
prune40_ft15ep,0.4,True,none,bytetrack,UCSD,47.273,51.268,65.322,7.167,12.0,12.833,51.8,23.86,41.32,491.3,
prune40_ft15ep,0.4,True,none,bytetrack,shanghai,57.627,64.003,77.32,4.333,8.333,4.0,75.2,13.36,21.88,640.8,
prune40_ft15ep,0.4,True,none,bytetrack,gmot,13.554,9.751,17.286,8.125,2.875,39.25,65.8,15.35,25.49,731.6,
prune40_ft15ep_fp16,0.4,True,fp16,bytetrack,avenue,56.21,76.26,70.81,14.0,62.0,7.0,72.1,13.88,16.1,453.2,
prune40_ft15ep_fp16,0.4,True,fp16,bytetrack,UCSD,47.567,51.995,66.19,6.0,12.167,12.5,52.9,19.06,22.01,451.8,
prune40_ft15ep_fp16,0.4,True,fp16,bytetrack,shanghai,57.67,64.003,77.493,4.333,8.333,4.0,60.2,16.66,22.32,451.8,
prune40_ft15ep_fp16,0.4,True,fp16,bytetrack,gmot,14.262,10.772,18.079,8.5,3.125,38.875,53.4,18.97,22.09,451.8,
prune40_ft15ep_int8,0.4,,int8,bytetrack,N/A,,,,,,,,,,,INT8 skipped — use TensorRT for full Conv INT8 inference
prune60,0.6,False,none,bytetrack,avenue,0.0,0.0,0.0,0.0,0.0,92.0,99.0,10.1,14.13,156.7,
prune60,0.6,False,none,bytetrack,UCSD,0.0,0.0,0.0,0.0,0.0,38.5,91.6,11.29,19.33,446.4,
prune60,0.6,False,none,bytetrack,shanghai,0.0,0.0,0.0,0.0,0.0,16.667,86.4,11.66,19.94,306.5,
prune60,0.6,False,none,bytetrack,gmot,0.0,0.0,0.0,0.0,0.0,46.25,74.0,13.91,21.19,434.1,
prune60_ft15ep,0.6,True,none,bytetrack,avenue,59.94,77.12,76.68,12.0,58.0,7.0,80.2,12.47,15.77,279.3,
prune60_ft15ep,0.6,True,none,bytetrack,UCSD,48.18,54.883,66.017,20.667,14.833,8.333,67.2,15.18,24.56,556.5,
prune60_ft15ep,0.6,True,none,bytetrack,shanghai,56.1,67.597,75.97,4.333,7.667,5.667,75.1,13.35,18.86,338.9,
prune60_ft15ep,0.6,True,none,bytetrack,gmot,13.092,-2.554,15.531,20.5,1.125,39.25,63.3,16.02,25.77,776.8,
prune60_ft15ep_fp16,0.6,True,fp16,bytetrack,avenue,56.32,76.29,70.41,14.0,58.0,7.0,72.8,13.74,14.62,179.0,
prune60_ft15ep_fp16,0.6,True,fp16,bytetrack,UCSD,48.335,54.83,66.345,20.167,14.167,8.5,52.8,19.13,19.74,180.1,
prune60_ft15ep_fp16,0.6,True,fp16,bytetrack,shanghai,57.47,67.367,79.093,3.333,8.0,5.667,64.5,15.62,18.58,180.1,
prune60_ft15ep_fp16,0.6,True,fp16,bytetrack,gmot,13.21,-0.919,15.463,25.25,1.5,38.625,52.8,19.3,18.94,180.1,
prune60_ft15ep_int8,0.6,,int8,bytetrack,N/A,,,,,,,,,,,INT8 skipped — use TensorRT for full Conv INT8 inference
