variant,sparsity,finetune,quantisation,tracker,dataset,HOTA (%),MOTA (%),IDF1 (%),ID Switches,MostlyTracked,MostlyLost,FPS,Latency mean (ms),Latency p95 (ms),Peak VRAM (MB),note
baseline,0.0,False,none,bytetrack,avenue,58.74,76.97,72.64,5.0,57.0,7.0,95.5,10.47,14.17,157.3,
baseline,0.0,False,none,bytetrack,UCSD,45.702,46.872,62.835,4.333,10.833,14.667,89.1,11.31,15.23,240.9,
baseline,0.0,False,none,bytetrack,shanghai,57.48,65.507,77.497,2.333,8.333,4.667,86.7,11.55,15.69,310.3,
baseline,0.0,False,none,bytetrack,gmot,19.197,19.759,25.369,34.25,3.875,31.375,80.5,12.51,15.67,388.4,
prune20,0.2,False,none,bytetrack,avenue,0.0,0.0,0.0,0.0,0.0,92.0,110.2,9.07,10.02,466.2,
prune20,0.2,False,none,bytetrack,UCSD,0.0,0.0,0.0,0.0,0.0,38.5,113.0,8.89,10.04,241.9,
prune20,0.2,False,none,bytetrack,shanghai,0.0,0.0,0.0,0.0,0.0,16.667,103.6,9.68,13.65,311.1,
prune20,0.2,False,none,bytetrack,gmot,0.0,0.0,0.0,0.0,0.0,46.25,90.5,11.09,13.34,389.1,
prune20_ft15ep,0.2,True,none,bytetrack,avenue,57.52,76.37,71.02,8.0,58.0,7.0,93.7,10.67,15.72,466.2,
prune20_ft15ep,0.2,True,none,bytetrack,UCSD,45.155,47.11,61.977,6.0,10.667,13.667,87.5,11.49,16.39,551.1,
prune20_ft15ep,0.2,True,none,bytetrack,shanghai,58.087,64.8,78.63,2.0,8.333,4.667,76.5,13.09,23.14,234.9,
prune20_ft15ep,0.2,True,none,bytetrack,gmot,20.615,19.926,26.886,24.25,4.0,32.25,72.9,13.85,20.88,313.6,
prune20_ft15ep_fp16,0.2,True,fp16,bytetrack,avenue,57.74,76.19,71.59,8.0,58.0,7.0,73.9,13.53,15.55,411.8,
prune20_ft15ep_fp16,0.2,True,fp16,bytetrack,UCSD,45.773,48.68,63.292,7.167,11.167,13.333,69.0,14.74,17.1,411.8,
prune20_ft15ep_fp16,0.2,True,fp16,bytetrack,shanghai,58.15,64.51,78.91,2.667,8.333,4.667,69.6,14.47,16.07,411.8,
prune20_ft15ep_fp16,0.2,True,fp16,bytetrack,gmot,19.369,18.49,25.378,23.75,3.875,32.625,67.3,14.99,18.02,411.8,
prune20_ft15ep_int8,0.2,,int8,bytetrack,N/A,,,,,,,,,,,INT8 skipped — use TensorRT for full Conv INT8 inference
prune40,0.4,False,none,bytetrack,avenue,0.0,0.0,0.0,0.0,0.0,92.0,101.8,9.83,14.72,390.7,
prune40,0.4,False,none,bytetrack,UCSD,0.0,0.0,0.0,0.0,0.0,38.5,105.8,9.47,11.73,164.7,
prune40,0.4,False,none,bytetrack,shanghai,0.0,0.0,0.0,0.0,0.0,16.667,101.5,9.87,13.74,233.8,
prune40,0.4,False,none,bytetrack,gmot,0.0,0.0,0.0,0.0,0.0,46.25,93.7,10.72,16.01,311.1,
prune40_ft15ep,0.4,True,none,bytetrack,avenue,56.21,76.22,70.94,14.0,61.0,7.0,97.6,10.25,13.14,389.1,
prune40_ft15ep,0.4,True,none,bytetrack,UCSD,47.273,51.268,65.322,7.167,12.0,12.833,92.5,10.89,15.44,473.5,
prune40_ft15ep,0.4,True,none,bytetrack,shanghai,57.627,64.003,77.32,4.333,8.333,4.0,71.7,14.25,22.57,543.2,
prune40_ft15ep,0.4,True,none,bytetrack,gmot,13.554,9.751,17.286,8.125,2.875,39.25,80.1,12.56,15.78,156.7,
prune40_ft15ep_fp16,0.4,True,fp16,bytetrack,avenue,56.21,76.26,70.81,14.0,62.0,7.0,75.8,13.2,13.6,257.1,
prune40_ft15ep_fp16,0.4,True,fp16,bytetrack,UCSD,47.567,51.995,66.19,6.0,12.167,12.5,72.2,14.1,14.59,257.1,
prune40_ft15ep_fp16,0.4,True,fp16,bytetrack,shanghai,57.67,64.003,77.493,4.333,8.333,4.0,73.8,13.62,14.12,257.1,
prune40_ft15ep_fp16,0.4,True,fp16,bytetrack,gmot,14.262,10.772,18.079,8.5,3.125,38.875,70.8,14.28,16.02,257.1,
prune40_ft15ep_int8,0.4,,int8,bytetrack,N/A,,,,,,,,,,,INT8 skipped — use TensorRT for full Conv INT8 inference
prune60,0.6,False,none,bytetrack,avenue,0.0,0.0,0.0,0.0,0.0,92.0,105.8,9.45,13.16,233.8,
prune60,0.6,False,none,bytetrack,UCSD,0.0,0.0,0.0,0.0,0.0,38.5,110.0,9.25,11.89,319.0,
prune60,0.6,False,none,bytetrack,shanghai,0.0,0.0,0.0,0.0,0.0,16.667,101.5,9.87,14.8,156.7,
prune60,0.6,False,none,bytetrack,gmot,0.0,0.0,0.0,0.0,0.0,46.25,89.9,11.21,17.68,233.8,
prune60_ft15ep,0.6,True,none,bytetrack,avenue,59.94,77.12,76.68,12.0,58.0,7.0,95.4,10.48,15.3,311.1,
prune60_ft15ep,0.6,True,none,bytetrack,UCSD,48.18,54.883,66.017,20.667,14.833,8.333,80.7,12.46,17.03,395.6,
prune60_ft15ep,0.6,True,none,bytetrack,shanghai,56.1,67.597,75.97,4.333,7.667,5.667,73.4,13.64,24.87,465.5,
prune60_ft15ep,0.6,True,none,bytetrack,gmot,13.092,-2.554,15.531,20.5,1.125,39.25,70.0,14.46,23.8,538.5,
prune60_ft15ep_fp16,0.6,True,fp16,bytetrack,avenue,56.32,76.29,70.41,14.0,58.0,7.0,73.6,13.59,15.03,178.8,
prune60_ft15ep_fp16,0.6,True,fp16,bytetrack,UCSD,48.335,54.83,66.345,20.167,14.167,8.5,66.6,15.26,18.37,179.6,
prune60_ft15ep_fp16,0.6,True,fp16,bytetrack,shanghai,57.47,67.367,79.093,3.333,8.0,5.667,69.8,14.43,17.05,179.6,
