name,sparsity,finetune,quantisation,weights_path,loadable
baseline,0.0,False,none,C:\Users\k2549603\PycharmProjects\Multi-Object-Tracking-in-Surveillance-Videos\tracker_outputs\compression\baseline\model.pt,True
prune20,0.2,False,none,C:\Users\k2549603\PycharmProjects\Multi-Object-Tracking-in-Surveillance-Videos\tracker_outputs\compression\prune20\model.pt,True
prune20_ft15ep,0.2,True,none,C:\Users\k2549603\PycharmProjects\Multi-Object-Tracking-in-Surveillance-Videos\tracker_outputs\compression\prune20_ft15ep\model.pt,True
prune20_ft15ep_fp16,0.2,True,fp16,C:\Users\k2549603\PycharmProjects\Multi-Object-Tracking-in-Surveillance-Videos\tracker_outputs\compression\prune20_ft15ep_fp16\model_fp16.torchscript,True
prune20_ft15ep_int8,0.2,True,int8,C:\Users\k2549603\PycharmProjects\Multi-Object-Tracking-in-Surveillance-Videos\tracker_outputs\compression\prune20_ft15ep_int8\model_int8.pt,False
prune40,0.4,False,none,C:\Users\k2549603\PycharmProjects\Multi-Object-Tracking-in-Surveillance-Videos\tracker_outputs\compression\prune40\model.pt,True
prune40_ft15ep,0.4,True,none,C:\Users\k2549603\PycharmProjects\Multi-Object-Tracking-in-Surveillance-Videos\tracker_outputs\compression\prune40_ft15ep\model.pt,True
prune40_ft15ep_fp16,0.4,True,fp16,C:\Users\k2549603\PycharmProjects\Multi-Object-Tracking-in-Surveillance-Videos\tracker_outputs\compression\prune40_ft15ep_fp16\model_fp16.torchscript,True
prune40_ft15ep_int8,0.4,True,int8,C:\Users\k2549603\PycharmProjects\Multi-Object-Tracking-in-Surveillance-Videos\tracker_outputs\compression\prune40_ft15ep_int8\model_int8.pt,False
prune60,0.6,False,none,C:\Users\k2549603\PycharmProjects\Multi-Object-Tracking-in-Surveillance-Videos\tracker_outputs\compression\prune60\model.pt,True
prune60_ft15ep,0.6,True,none,C:\Users\k2549603\PycharmProjects\Multi-Object-Tracking-in-Surveillance-Videos\tracker_outputs\compression\prune60_ft15ep\model.pt,True
prune60_ft15ep_fp16,0.6,True,fp16,C:\Users\k2549603\PycharmProjects\Multi-Object-Tracking-in-Surveillance-Videos\tracker_outputs\compression\prune60_ft15ep_fp16\model_fp16.torchscript,True
prune60_ft15ep_int8,0.6,True,int8,C:\Users\k2549603\PycharmProjects\Multi-Object-Tracking-in-Surveillance-Videos\tracker_outputs\compression\prune60_ft15ep_int8\model_int8.pt,False
fp16_only,0.0,False,fp16,C:\Users\k2549603\PycharmProjects\Multi-Object-Tracking-in-Surveillance-Videos\tracker_outputs\compression\fp16_only\model_fp16.torchscript,True
int8_only,0.0,False,int8,C:\Users\k2549603\PycharmProjects\Multi-Object-Tracking-in-Surveillance-Videos\tracker_outputs\compression\int8_only\model_int8.pt,False
