Tracker,Dataset,conf,iou,HOTA (%),MOTA (%),IDF1 (%),ID Switches,MostlyTracked,MostlyLost,FPS,Latency mean (ms),Latency p95 (ms),Peak VRAM (MB)
deepsort,avenue,0.4,0.7,50.42,38.97,67.42,33,63.0,6.0,44.8,22.32,32.45,1125.8
deepsort,UCSD,0.3,0.5,46.32,44.332,61.83,9,15.167,12.5,38.9,25.86,38.09,1721.1
deepsort,shanghai,0.5,0.5,54.603,61.08,72.113,4,7.667,5.333,48.8,20.67,28.37,961.3
deepsort,gmot,0.3,0.5,20.926,-1.31,25.65,62,6.625,25.375,55.7,29.18,42.13,2770.9
bytetrack,avenue,0.01,0.5,59.24,78.33,73.81,6,54.0,7.0,83.8,11.93,15.85,412.7
bytetrack,UCSD,0.01,0.7,45.767,46.918,62.85,4,10.833,14.667,86.9,11.79,16.46,692.8
bytetrack,shanghai,0.01,0.5,59.563,69.117,80.787,1,7.667,5.333,80.7,12.6,16.27,452.4
bytetrack,gmot,0.01,0.6,19.67,20.019,26.165,30,4.375,31.125,77.3,13.23,17.36,685.0
ocsort,avenue,0.2,0.7,60.59,76.23,78.83,30,54.0,7.0,70.5,14.18,17.58,275.4
ocsort,UCSD,0.2,0.5,43.442,44.437,60.315,9,10.167,15.5,81.3,12.58,18.31,573.0
ocsort,shanghai,0.2,0.5,58.033,66.133,78.883,4,7.333,5.0,81.4,12.53,17.35,601.7
ocsort,gmot,0.2,0.5,19.032,20.03,25.38,51,5.0,31.25,73.2,14.06,18.95,595.4
