tracker_name,dataset_name,stage,run_id,conf,iou,HOTA (%),MOTA (%),IDF1 (%),ID Switches,MostlyTracked,MostlyLost,FPS,Latency mean (ms),Latency 95 (ms),Peak VRAM (MB),track_high_thresh,track_buffer,match_thresh,Latency p95 (ms)
bytetrack,avenue,1,"conf:0.01,iou:0.5",0.01,0.5,56.07,78.3,70.03,6.0,56.0,7.0,83.4,11.99,17.14,157.3,,,,
bytetrack,avenue,1,"conf:0.01,iou:0.6",0.01,0.6,56.05,78.26,70.01,6.0,56.0,7.0,89.1,11.22,16.52,234.4,,,,
bytetrack,avenue,1,"conf:0.01,iou:0.7",0.01,0.7,56.05,78.3,70.02,6.0,55.0,7.0,84.0,11.91,16.75,286.8,,,,
bytetrack,avenue,1,"conf:0.03,iou:0.5",0.03,0.5,56.07,78.3,70.03,6.0,56.0,7.0,83.5,11.97,17.0,364.7,,,,
bytetrack,avenue,1,"conf:0.03,iou:0.6",0.03,0.6,56.05,78.26,70.01,6.0,56.0,7.0,85.9,11.64,16.71,433.8,,,,
bytetrack,avenue,1,"conf:0.03,iou:0.7",0.03,0.7,56.05,78.3,70.02,6.0,55.0,7.0,83.5,11.98,16.62,473.3,,,,
bytetrack,avenue,1,"conf:0.05,iou:0.5",0.05,0.5,56.07,78.3,70.03,6.0,56.0,7.0,86.7,11.54,16.55,158.7,,,,
bytetrack,avenue,1,"conf:0.05,iou:0.6",0.05,0.6,56.05,78.26,70.01,6.0,56.0,7.0,83.0,12.05,16.72,237.1,,,,
bytetrack,avenue,1,"conf:0.05,iou:0.7",0.05,0.7,56.05,78.3,70.02,6.0,55.0,7.0,83.7,11.94,16.78,292.4,,,,
bytetrack,UCSD,1,"conf:0.01,iou:0.5",0.01,0.5,44.957,45.563,61.628,3.167,10.5,15.833,84.2,12.02,17.07,630.4,,,,
bytetrack,UCSD,1,"conf:0.01,iou:0.6",0.01,0.6,44.958,45.547,61.625,3.167,10.5,15.833,78.9,12.74,17.56,542.6,,,,
bytetrack,UCSD,1,"conf:0.01,iou:0.7",0.01,0.7,44.98,45.565,61.653,3.167,10.5,15.833,79.8,12.66,17.39,694.8,,,,
bytetrack,UCSD,1,"conf:0.03,iou:0.5",0.03,0.5,44.957,45.563,61.628,3.167,10.5,15.833,78.8,12.98,17.64,715.7,,,,
bytetrack,UCSD,1,"conf:0.03,iou:0.6",0.03,0.6,44.958,45.547,61.625,3.167,10.5,15.833,79.6,12.81,17.05,512.5,,,,
bytetrack,UCSD,1,"conf:0.03,iou:0.7",0.03,0.7,44.98,45.565,61.653,3.167,10.5,15.833,83.5,12.17,16.92,736.2,,,,
bytetrack,UCSD,1,"conf:0.05,iou:0.5",0.05,0.5,44.957,45.563,61.628,3.167,10.5,15.833,77.2,13.17,17.32,697.7,,,,
bytetrack,UCSD,1,"conf:0.05,iou:0.6",0.05,0.6,44.958,45.547,61.625,3.167,10.5,15.833,82.1,12.23,17.25,472.5,,,,
bytetrack,UCSD,1,"conf:0.05,iou:0.7",0.05,0.7,44.98,45.565,61.653,3.167,10.5,15.833,77.4,13.03,17.42,715.6,,,,
bytetrack,shanghai,1,"conf:0.01,iou:0.5",0.01,0.5,58.943,68.57,80.053,2.0,7.667,4.667,85.5,11.95,17.12,459.9,,,,
bytetrack,shanghai,1,"conf:0.01,iou:0.6",0.01,0.6,58.797,68.63,79.627,2.667,7.667,4.667,82.9,12.13,16.63,626.4,,,,
bytetrack,shanghai,1,"conf:0.01,iou:0.7",0.01,0.7,58.78,68.48,79.503,2.333,7.667,5.0,82.6,12.22,16.54,681.0,,,,
bytetrack,shanghai,1,"conf:0.03,iou:0.5",0.03,0.5,58.943,68.57,80.053,2.0,7.667,4.667,92.0,11.09,16.21,414.3,,,,
bytetrack,shanghai,1,"conf:0.03,iou:0.6",0.03,0.6,58.797,68.63,79.627,2.667,7.667,4.667,78.6,12.89,16.84,644.1,,,,
bytetrack,shanghai,1,"conf:0.03,iou:0.7",0.03,0.7,58.78,68.48,79.503,2.333,7.667,5.0,87.1,11.56,16.44,312.8,,,,
bytetrack,shanghai,1,"conf:0.05,iou:0.5",0.05,0.5,58.943,68.57,80.053,2.0,7.667,4.667,81.5,12.32,16.95,446.1,,,,
bytetrack,shanghai,1,"conf:0.05,iou:0.6",0.05,0.6,58.797,68.63,79.627,2.667,7.667,4.667,76.0,13.26,17.08,573.3,,,,
bytetrack,shanghai,1,"conf:0.05,iou:0.7",0.05,0.7,58.78,68.48,79.503,2.333,7.667,5.0,97.6,10.69,16.44,390.2,,,,
bytetrack,gmot,1,"conf:0.01,iou:0.5",0.01,0.5,17.294,17.488,22.679,24.75,3.875,33.75,77.4,13.4,17.84,686.3,,,,
bytetrack,gmot,1,"conf:0.01,iou:0.6",0.01,0.6,17.814,17.681,23.385,24.5,4.125,33.5,76.6,13.51,17.57,657.9,,,,
