tracker_name,dataset_name,stage,run_id,conf,iou,HOTA (%),MOTA (%),IDF1 (%),ID Switches,MostlyTracked,MostlyLost,FPS,Latency mean (ms),Latency 95 (ms),Peak VRAM (MB),max_dist,max_age,n_init,max_iou_dist,Latency p95 (ms)
deepsort,avenue,1,"conf:0.3,iou:0.5",0.3,0.5,39.31,56.33,45.08,10.0,68.0,6.0,26.4,37.89,53.87,956.0,,,,,
deepsort,avenue,1,"conf:0.3,iou:0.6",0.3,0.6,39.31,56.33,45.08,10.0,68.0,6.0,29.5,33.86,48.54,1031.6,,,,,
deepsort,avenue,1,"conf:0.3,iou:0.7",0.3,0.7,42.29,55.03,48.4,11.0,68.0,6.0,33.3,30.0,43.85,1107.9,,,,,
deepsort,avenue,1,"conf:0.4,iou:0.5",0.4,0.5,42.47,58.65,49.17,10.0,66.0,7.0,35.3,28.3,43.76,1109.5,,,,,
deepsort,avenue,1,"conf:0.4,iou:0.6",0.4,0.6,42.47,58.65,49.17,10.0,66.0,7.0,35.0,28.59,43.88,1184.4,,,,,
deepsort,avenue,1,"conf:0.4,iou:0.7",0.4,0.7,44.43,58.7,52.51,9.0,66.0,7.0,35.7,27.98,43.51,883.2,,,,,
deepsort,avenue,1,"conf:0.5,iou:0.5",0.5,0.5,43.57,60.08,51.18,10.0,64.0,7.0,37.9,26.37,37.24,958.9,,,,,
deepsort,avenue,1,"conf:0.5,iou:0.6",0.5,0.6,43.57,60.08,51.18,10.0,64.0,7.0,38.0,26.31,37.36,1034.5,,,,,
deepsort,avenue,1,"conf:0.5,iou:0.7",0.5,0.7,43.56,60.08,51.21,10.0,64.0,7.0,36.2,27.64,40.44,1112.1,,,,,
deepsort,UCSD,1,"conf:0.3,iou:0.5",0.3,0.5,45.832,47.258,61.05,9.667,14.333,11.833,34.2,29.32,42.44,1637.6,,,,,
deepsort,UCSD,1,"conf:0.3,iou:0.6",0.3,0.6,45.827,47.215,61.025,9.667,14.333,11.833,32.9,30.75,43.3,1718.4,,,,,
deepsort,UCSD,1,"conf:0.3,iou:0.7",0.3,0.7,45.698,46.842,60.878,9.833,14.333,12.0,33.9,29.7,43.54,1941.2,,,,,
