tracker_name,dataset_name,stage,run_id,conf,iou,HOTA (%),MOTA (%),IDF1 (%),ID Switches,MostlyTracked,MostlyLost,FPS,Latency mean (ms),Latency 95 (ms),Peak VRAM (MB),det_thresh,max_age,min_hits,iou_threshold,Latency p95 (ms)
ocsort,avenue,1,"conf:0.2,iou:0.5",0.2,0.5,51.38,76.11,61.33,18.0,44.0,11.0,62.4,16.03,17.75,157.3,,,,,
ocsort,avenue,1,"conf:0.2,iou:0.6",0.2,0.6,51.38,76.11,61.33,18.0,44.0,11.0,67.7,14.77,18.3,234.4,,,,,
ocsort,avenue,1,"conf:0.2,iou:0.7",0.2,0.7,53.76,76.12,65.16,17.0,44.0,11.0,72.5,13.8,18.32,286.8,,,,,
ocsort,avenue,1,"conf:0.3,iou:0.5",0.3,0.5,51.38,76.11,61.33,18.0,44.0,11.0,87.0,11.49,17.75,364.7,,,,,
ocsort,avenue,1,"conf:0.3,iou:0.6",0.3,0.6,51.38,76.11,61.33,18.0,44.0,11.0,92.3,10.83,17.9,433.8,,,,,
ocsort,avenue,1,"conf:0.3,iou:0.7",0.3,0.7,53.76,76.12,65.16,17.0,44.0,11.0,90.0,11.11,17.76,473.3,,,,,
ocsort,avenue,1,"conf:0.4,iou:0.5",0.4,0.5,51.38,76.11,61.33,18.0,44.0,11.0,89.8,11.14,18.12,158.7,,,,,
ocsort,avenue,1,"conf:0.4,iou:0.6",0.4,0.6,51.38,76.11,61.33,18.0,44.0,11.0,85.7,11.67,18.02,237.1,,,,,
ocsort,avenue,1,"conf:0.4,iou:0.7",0.4,0.7,53.76,76.12,65.16,17.0,44.0,11.0,90.4,11.06,17.81,292.4,,,,,
ocsort,UCSD,1,"conf:0.2,iou:0.5",0.2,0.5,37.878,36.138,51.45,4.0,6.167,18.833,83.2,12.09,18.62,630.4,,,,,
ocsort,UCSD,1,"conf:0.2,iou:0.6",0.2,0.6,37.878,36.138,51.45,4.0,6.167,18.833,73.8,13.8,19.16,542.6,,,,,
ocsort,UCSD,1,"conf:0.2,iou:0.7",0.2,0.7,37.878,36.138,51.45,4.0,6.167,18.833,76.9,13.19,18.8,694.8,,,,,
ocsort,UCSD,1,"conf:0.3,iou:0.5",0.3,0.5,37.878,36.138,51.45,4.0,6.167,18.833,68.2,14.91,19.05,715.7,,,,,
ocsort,UCSD,1,"conf:0.3,iou:0.6",0.3,0.6,37.878,36.138,51.45,4.0,6.167,18.833,78.7,12.94,18.97,512.5,,,,,
ocsort,UCSD,1,"conf:0.3,iou:0.7",0.3,0.7,37.878,36.138,51.45,4.0,6.167,18.833,72.2,14.12,19.16,736.2,,,,,
ocsort,UCSD,1,"conf:0.4,iou:0.5",0.4,0.5,37.878,36.138,51.45,4.0,6.167,18.833,66.1,15.14,19.5,697.7,,,,,
ocsort,UCSD,1,"conf:0.4,iou:0.6",0.4,0.6,37.878,36.138,51.45,4.0,6.167,18.833,64.9,15.45,19.77,472.5,,,,,
ocsort,UCSD,1,"conf:0.4,iou:0.7",0.4,0.7,37.878,36.138,51.45,4.0,6.167,18.833,68.4,14.64,19.74,715.6,,,,,
ocsort,shanghai,1,"conf:0.2,iou:0.5",0.2,0.5,56.97,65.927,78.02,3.333,6.333,6.0,66.4,15.08,18.94,459.9,,,,,
ocsort,shanghai,1,"conf:0.2,iou:0.6",0.2,0.6,56.967,65.917,78.013,3.333,6.333,6.0,65.4,15.33,18.53,592.9,,,,,
ocsort,shanghai,1,"conf:0.2,iou:0.7",0.2,0.7,56.97,65.963,78.043,3.333,6.333,6.0,79.5,12.78,18.22,662.1,,,,,
